Year,SERIES,UNIT_MEASURE,Sex,Type of skill,AGE,Degree of urbanisation,Value
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Participating in social networks,Y15T24,All areas,82.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Participating in social networks,Y15T24,All areas,88.1
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Participating in social networks,Y15T24,All areas,98.0
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Participating in social networks,Y15T24,All areas,83.9
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Participating in social networks,Y15T24,All areas,56.1
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Participating in social networks,Y15T24,All areas,90.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Participating in social networks,Y15T24,All areas,90.2
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Participating in social networks,Y15T24,All areas,93.8
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Finding, downloading, installing and configuring software",Y15T24,All areas,51.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Finding, downloading, installing and configuring software",Y15T24,All areas,54.2
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Finding, downloading, installing and configuring software",Y15T24,All areas,78.4
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Finding, downloading, installing and configuring software",Y15T24,All areas,50.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Finding, downloading, installing and configuring software",Y15T24,All areas,56.3
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Finding, downloading, installing and configuring software",Y15T24,All areas,80.5
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Finding, downloading, installing and configuring software",Y15T24,All areas,53.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Finding, downloading, installing and configuring software",Y15T24,All areas,51.6
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Finding, downloading, installing and configuring software",Y15T24,All areas,77.0
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Transferring files between a computer and other devices,Y15T24,All areas,87.0
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Transferring files between a computer and other devices,Y15T24,All areas,80.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Transferring files between a computer and other devices,Y15T24,All areas,40.4
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Transferring files between a computer and other devices,Y15T24,All areas,53.0
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Transferring files between a computer and other devices,Y15T24,All areas,84.0
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Transferring files between a computer and other devices,Y15T24,All areas,80.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Transferring files between a computer and other devices,Y15T24,All areas,40.7
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Transferring files between a computer and other devices,Y15T24,All areas,49.8
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Transferring files between a computer and other devices,Y15T24,All areas,89.5
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Transferring files between a computer and other devices,Y15T24,All areas,80.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Transferring files between a computer and other devices,Y15T24,All areas,40.0
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Transferring files between a computer and other devices,Y15T24,All areas,55.1
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Uploading self / user - created content to a website to be shared,Y15T24,All areas,58.7
